zip,dist_to_ucsd,median_income,renter_share,pop_density,match_dist
92128,12.344476056853,94925,0.3594328590917949,4311.720485221254,1.0709628711150139
92118,12.610254076912428,99641,0.507541833608296,2941.8725617685304,1.1533986988202243
91910,19.546655389339197,59371,0.5265812807881773,6057.8374513386825,1.2962621666315
92056,22.390778615055225,70636,0.3712761674718196,4401.738565277439,1.297365563238446
91913,22.847593412284127,87440,0.3016911406500104,5425.021987686895,1.3190323804386197
92008,18.70413168913337,81073,0.5410585545982064,2647.533890972022,1.3667115764441862
92011,16.07225928880481,110505,0.3347116200169635,3808.321860180511,1.4905189174056765
92057,26.034164834722453,66844,0.3605622115035527,3827.5862068965516,1.5294149066001992
91942,14.245131961244867,56645,0.6131510495432824,6973.8301559792035,1.5641130702720287
92054,22.816710872415044,56170,0.6208857160907195,5830.522088353414,1.5792970684711258
91911,21.65733799600614,52274,0.4952239789196311,6601.587052168447,1.5846839276408018
92024,12.289854423487885,103417,0.3451930355791067,2846.5464632454928,1.6182469582027912
92071,14.000545251923377,81716,0.3078231292517007,3037.031142235662,1.6984875324819964
92020,16.413740219028167,52264,0.6099622086920008,5295.250089960417,1.701773797858674
92078,16.660511294514148,74094,0.3365884664278285,2949.7604790419164,1.7033520569617033
92069,20.871162116369906,65485,0.4306382389588813,2687.2022520571672,1.7108102222275086
